company,trade,city,state,contact_name,email,phone,detail,email_source_url
David's Urgent Garage Door,garage door repair,Minneapolis,MN,,info@urgentgaragedoor.com,(763) 265-7671,"Family-owned Twin Cities shop; site says they answer the phone 24/7, 365 days a year for emergency garage door repair",https://urgentgaragedoor.com/about/
AZ Garage Door,garage door repair,Tucson,AZ,,admin@azgaragedoor.net,(520) 602-7671,"Advertises answering its emergency line 24/7 with a live Tucson dispatcher, lists hours as Open 24/7, and touts 100+ 5-star Google reviews",https://azgaragedoor.net/contact/
Sterling Door LLC,garage door repair,Macomb,MI,,info@sterlingdoorllc.com,586-412-5600,"Serves Macomb, Oakland, Wayne and St. Clair counties in southeastern Michigan; site advertises being open 24 hours with same-day repair available",https://www.sterlingdoorllc.com/
YinzerFix Appliance Repair LLC,appliance repair,Pittsburgh,PA,,info@yinzerfix.com,(412) 909-9091,"Family-owned Pittsburgh shop with 12+ years experience; contact page lists hours Mon-Sat 7:00am-9:00pm and closed Sunday, so no after-hours coverage",https://www.yinzerfix.com/contact
Appliance EMT,appliance repair,Duluth,GA,,service@911applianceemt.com,(404) 884-2222,"Family-owned metro Atlanta company doing same-day appliance repair since 2005 with flat-rate quotes; also lists a separate 1-877 general support line",https://www.911applianceemt.com/contact-appliance-emt/
The Appliance Family,appliance repair,Austin,TX,,Support@theappliancefamily.com,(512) 934-2240,"Same-day service only if you book online before 11 AM; hours listed Mon-Sat 8:00AM-8:00PM Central, closed Sunday",https://www.theappliancefamily.com/contact-us
Elk Appliance Repair,appliance repair,Fort Worth,TX,,support@elkappliance.com,(817) 262-7959,"Locally owned family business whose homepage headline is 'Call or Text 24/7 for Same Day Repairs'",https://elkappliancerepair.com/contact-us/
Guilford Locksmithing,locksmith,Greensboro,NC,,service@guilfordlocksmithing.com,(336) 856-2882,"Homepage advertises 24/7 emergency locksmiths but contact page lists office hours Mon-Fri 9:00am-5:30pm with Sat-Sun closed (emergency mobile service available)",https://www.guilfordlocksmithing.com/contact-us
LockTech24/7,locksmith,Northampton,PA,,locktech247@hotmail.com,(484) 547-7345,"Family-owned and operated mobile locksmith branded around 24/7 availability, serving Allentown, Bethlehem and Easton in the Lehigh Valley",https://locktech247.com/contact-locktech24-7/
The Lock Shop,locksmith,Albuquerque,NM,,thelockshop@ymail.com,505-221-1222,"Shop hours are Mon-Fri 7am-5pm and Sat 7am-4pm (closed Sunday) while advertising after-hours emergency service on a separate second phone line",https://www.lockshopnm.com/contact-us
Central Exterminating Services,pest control,Lincolnville Center,ME,Bruce & Jesse Richards,office@centralexterminating.me,(207) 763-3086,"Family owned since 1983, started by Bruce and Becky Richards and now run by their sons Bruce and Jesse, serving Midcoast Maine",https://www.centralexterminatingservices.com/about-us/
Kapture Pest Control,pest control,Old Tappan,NJ,,support@kapturepest.com,888-811-5813,"Locally owned NJ company that advertises same-day service and customers having a direct line to the owner",https://kapturepest.com/contact-us/
Septic Tank Guys,septic services,Van Nuys,CA,,info@septictankguys.com,(818) 578-0836,"Advertises 24/7 emergency service and same-day septic tank pumping across the Los Angeles area",https://septictankguys.com/
Clean Earth Septic Service,septic services,Van Etten,NY,,info@cleanearthseptic.com,607-564-7931,"Family owned and operated; site says the team is on call 24/7 to handle back-ups and emergencies after regular business hours",https://www.cleanearthseptic.com/contact
A Wesco Septic Service,septic services,Snohomish,WA,,csr@awescoseptic.com,(360) 668-6561,"Office hours listed Mon-Fri 8am-5pm but advertises a 24/7 emergency line, so nights and weekends ring outside staffed hours",https://awescoseptic.com/contact-us-2/
Local Water Damage Restoration,water damage restoration,Charlotte,NC,,office@yourlocalwaterdamagerestoration.com,,"Family-owned company advertising 24/7 emergency water removal across Charlotte, Greensboro and Winston-Salem; indexed pages push the contact form and show no phone number",https://yourlocalwaterdamagerestoration.com/contact-us/
First to Respond Restoration,water damage restoration,Los Angeles,CA,,info@first2respond.com,(818) 686-2058,"Family owned and operated with 20+ years experience; advertises 24/7 emergency response across the San Fernando Valley plus a separate text line",https://www.first2respond.com/contact-us/
