company,trade,city,state,contact_name,email,phone,detail,email_source_url
Waldera's Towing,towing,New Berlin,WI,,dispatch@walderastowing.com,(262) 765-7005,"True 24/7: site says a real dispatcher answers every call any time of day, including midnight and every holiday — position AnswerPine as overflow/backup when all trucks are rolling",https://walderastowing.com/auctions/
Glenn's 24hr Towing,towing,Green Bay,WI,,info@glenns24hrtowing.com,920-468-6660,"Family-run 45+ years with 24hr literally in the company name; contact page still lists a fax line — minimal phone infrastructure",https://www.glenns24hrtowing.com/contact
Bozeman Road Rescue,towing,Belgrade,MT,Josh,josh@bozemanroadrescue.com,406-581-4028,"Their own contact page admits written inquiries wait up to 3 hours and tells people to call for a faster response — 24/7 family towing outfit, 20+ years in Bozeman",https://bozemanroadrescue.com/contact/
Knights Towing,towing,Helena,MT,,knightstowingmt@gmail.com,(406) 202-3729,"Site routes larger jobs to a gmail address and everything else to one phone number — family-owned 24/7 shop with no dispatch layer",https://www.knightstowingmt.com/contact/
Solo's Towing & Recovery,towing,Carriere,MS,,solos_towing@charter.net,(601) 798-6191,"Runs three separate phone lines (primary, Louisiana line, dedicated emergency line) to keep 24/7 coverage — 25+ year family-owned shop in southern Mississippi",https://solostowing.com/
Northland Towing,towing,Kansas City,MO,,info@24hourtowingcompany.com,(816) 678-0078,"Their domain is literally 24hourtowingcompany.com — serving the KC metro since 1995, the whole brand promise rests on answering at any hour",https://24hourtowingcompany.com/
Liscombe Tree Service,tree service,St. Charles,MO,,office@liscombetreeservice.com,314-717-0941,"Maintains a dedicated emergency tree removal page for storm damage; locally owned and rooted in St. Charles County — storm-surge call volume is their business",https://liscombetreeservice.com/tree-care-services/tree-trimming/
Alabama Tree Pros,tree service,Trafford,AL,,contact@alabamatreepros.com,205-308-4158,"HOURS GAP (gold): advertises 24/7 emergency storm response but their contact page lists business hours Mon–Fri 8am–5pm — nights and weekends are uncovered",https://alabamatreepros.com/contact-us/
Epping Well and Pump,well pump service,Epping,NH,,info@eppingwell.com,(603) 679-5299,"True 24/7 claim: contact page headline is 24/7 Emergency Well & Pump Service; family-owned since 1974, covers NH ME and MA",https://eppingwell.com/contact-us/
The Well Guys,well pump service,Seymour,CT,,thewellwaterguys@gmail.com,(203) 828-6129,"Family owned and operated; markets emergency no-water calls — the exact caller who dials the next company instead of leaving a voicemail",https://thewellguysct.com/
Michael Barlow Well Drilling Service,well pump service,Bel Air,MD,Michael Barlow,info@michaelbarlowwelldrilling.com,(410) 838-6910,"Family owned 40+ years covering MD, PA and DE — a three-state service area for one small Bel Air office fielding pump-failure service calls",https://www.michaelbarlowwelldrilling.com/contact
Top Notch Chimney Sweeps & Services,chimney/dryer vent,Des Moines,IA,,topnotchchimney@gmail.com,(515) 249-6337,"Locally owned, family operated since 2002 covering Des Moines and Ames — runs on a gmail address, no office staff apparent",https://iowachimneysweep.com/privacy-policy/
Chimney Sweep Clean,chimney/dryer vent,Baltimore,MD,,chimneysweepclean.md@gmail.com,410-401-5557,"One small crew advertising 18+ service-area cities across the Baltimore metro (Annapolis to Hagerstown) — huge geographic promise for a shop reachable only by one cell and a gmail",https://chimneysweepclean.com/contact-us/
Northern Nevada Glass,glass repair,Reno,NV,Jordan,jordan@northernnevadaglass.com,775-997-9447,"HOURS GAP (gold): family glass shop open 7 days but closes 6–7pm daily (M–F 7:30–7, Sat 8–7, Sun 8–6) — overnight break-in/board-up calls go unanswered; owner's personal email is the only contact",https://northernnevadaglass.com/
Gem Heating & Air Conditioning,HVAC,Boise,ID,,info@gemheating.com,208-912-6304,"HOURS GAP (gold): promises 24/7 emergency HVAC support across the Treasure Valley yet posted schedule shows Saturday: Closed and a Friday 7pm cutoff",https://gemheating.com/boise-ac-system-replacement/
Brock's Plumbing Heating & Air Conditioning,HVAC/plumbing,Saint Albans,VT,,info@brocksheating.com,802-849-2466,"Family-owned company claiming 24/7 emergency availability with a PO Box for an office — owner is almost certainly fielding after-hours calls personally",https://www.brocksheating.com/contact/
ProDrain & Rooter Service,drain cleaning,Portland,OR,,office@prodrainpdx.com,503-533-0430,"Family owned since 1995 serving the Portland metro; contact email is office@ — a small office answers, so nights/weekends clogs likely hit voicemail",https://prodrainpdx.com/drain-cleaning/
Major Drain,drain cleaning,Omaha,NE,,service@majordrainomaha.com,402-658-8047,"Family-owned Omaha drain specialist whose address is a Dodge Street mail-drop suite (#345) — truck-based operation with no storefront or front desk",https://majordrainomaha.com/contact-us/
