company,trade,city,state,contact_name,email,phone,detail,email_source_url
Hurricane Wrecker Service,towing,Hurricane,WV,,Hurricane.wrecker@aol.com,(304) 562-8200,"Trucks dispatched 24/7 by their own onsite office staff, not a third-party call center — and the whole operation runs through an AOL address and a fax line",https://hurricanewreckerwv.com/contact-us
Harris Towing,towing,Dover,DE,,harristowing@gmail.com,(302) 208-6300,"HOURS GAP (gold): office hours Mon-Fri 8am-5pm but advertises 24-hour emergency towing every day — nights and weekends ring outside staffed hours; veteran-founded family-run shop, 20+ years, flat rates",https://www.harristowing.com/contact-us/
Hanover Wrecker Service,towing,Kodak,TN,Tyler Blankenship,HANOVERWRECKERSERVICE@HOTMAIL.COM,866-597-5872,"Family-owned since 1987 covering the I-40, I-81 and I-75 corridors across East Tennessee and southern West Virginia 24/7 — a multi-interstate footprint run through a hotmail address",https://www.hanoverwreckerservice.com/contact
Siouxland Well Company,well pump/septic,Dakota City,NE,,contact@siouxlandwellco.com,712-899-3068,"HOURS GAP (gold): posted hours Mon-Fri 8am-5pm with 'Weekends & Nights - Emergency Only'; family owned since 1980 serving a three-state area (western Iowa, South Dakota, Nebraska)",https://siouxlandwellco.net/
Micheal's Purple Petunia Septic Service,septic services,Harrisburg,SD,Micheal Pesicka III,michealspurplepetunia.llc@gmail.com,(605) 332-5690,"HOURS GAP (gold): office Mon-Fri 8am-5pm and closed weekends, yet advertises after-hour emergency calls; family owned since 1969 with three trucks serving greater Sioux Falls",https://www.michealspurplepetunia.net/contact-us/
Purge Environmental,septic services,Indianapolis,IN,,info@purgeenvironmental.com,317-999-7366,"True 24/7 claim (COST angle): locally owned shop advertising 24/7 emergency septic pumping across a ~40-mile radius of Indianapolis — someone is fielding those overnight backup calls",https://purgeenvironmental.com/contact/
R & D Watters Septic Service,septic services,Morgantown,WV,,rdwattersinc@gmail.com,304-292-7665,"SEASONAL + HOURS GAP: business runs April 15 to October 15 only, Mon-Fri 8-5 and Sat 8-3, with emergency service 'by request' — off-season and after-hours calls have nowhere to land; family owned, runs on a gmail",http://www.rdwatters.com/contact-morgantown
FM Garage Door,garage door repair,Fargo,ND,,fmgaragedoor@gmail.com,701-280-7169,"HOURS GAP: Mon-Fri 8-5:30, Sat 8-1, closed Sunday with after-hours repairs by appointment only — 40+ years in Fargo run from a PO Box and a gmail address",https://www.fmgaragedoor.net/contac
EZ Open Garage Door,garage door repair,West Fargo,ND,Bill Vogel,info@ezopen.com,701-235-2802,"Father-son shop — President Bill Vogel and VP son Billy — founded 1975, 50 years serving the Fargo-Moorhead area with one of the region's largest residential door selections",https://ezopen.com/contact/
The Door Pros LLC,garage door repair,Wichita,KS,,Thedoorpros@yahoo.com,(620) 833-0652,"Family-operated shop offering emergency repairs across greater Wichita, reachable only through one phone number and a yahoo address — no office staff apparent",https://www.thedoorprosllc.com/contact
Norman Garage Door,garage door repair,Norman,OK,,info@normangaragedoor.com,(405) 329-4194,"HOURS GAP (gold): posted business hours Mon-Fri 8am-5pm with 'Emergency Services Available Upon Request' — family owned 45+ years serving the entire OKC metro",https://www.normangd.com/contact
Affordable Door Co,garage door repair,Oklahoma City,OK,,affordabledoorokc@sbcglobal.net,(405) 247-0336,"True 24/7 claim (COST angle): lists itself as 'Open 24/7' and Oklahoma's trusted garage door company since 1994 — while still running on an sbcglobal.net email",https://affordabledoorco.com/contact/
Walter Plumbing & Heating,plumbing/heating,Cheyenne,WY,,walterplumbingheating@gmail.com,(307) 638-3939,"Runs a separate after-hours emergency number (307-772-1990) alongside the office line — someone's personal phone is the night shift; family owned and operated for 39 years",https://www.walterplumbingandheating.com/contact-us
First Class Plumbing & Heating,plumbing/heating,Anchorage,AK,,firstclassak@gmail.com,(907) 529-4328,"True 24/7 claim (COST angle): advertises 24/7 emergency plumbing and heating for burst pipes and no-heat calls on a single phone line and a gmail address",http://www.firstclassak.net/contact-us
Pueo Plumbing,plumbing,Honolulu,HI,Josh Stamm,dispatch@pueoplumbing.com,(808) 593-7836,"Husband-and-wife shop (owner Josh Stamm, a 20+ year journeyman plumber, and wife Jessica) advertising 24-hour emergency service across all of Oahu through a single dispatch email",https://www.pueoplumbing.com/contact-us
